Unnamed: 0,id,seccion,agrupacion_ganadora,CAMBIEMOS_perc,FRENTE PARA LA VICTORIA_perc,CAMBIEMOS_votos,FRENTE PARA LA VICTORIA_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,NULO_votos,distrito
0.0,BUENOS AIRES_ADOLFO ALSINA,"Adolfo Alsina, Buenos Aires",CAMBIEMOS,64.6,35.4,7132,3908,79.22,14171,11226,1.19,0.01,0.45,134,1,51,BUENOS AIRES
1.0,BUENOS AIRES_ALBERTI,"Alberti, Buenos Aires",CAMBIEMOS,55.72,44.28,4221,3354,84.22,9147,7704,1.6,0.01,0.06,123,1,5,BUENOS AIRES
2.0,BUENOS AIRES_ALMIRANTE BROWN,"Almirante Brown, Buenos Aires",FRENTE PARA LA VICTORIA,39.72,60.28,133647,202868,83.77,412578,345606,1.37,0.05,1.21,4738,159,4194,BUENOS AIRES
3.0,BUENOS AIRES_ARRECIFES,"Arrecifes, Buenos Aires",CAMBIEMOS,56.24,43.76,11050,8598,84.05,23840,20038,1.53,0.02,0.39,306,5,79,BUENOS AIRES
4.0,BUENOS AIRES_AVELLANEDA,"Avellaneda, Buenos Aires",FRENTE PARA LA VICTORIA,47.87,52.13,104775,114096,82.52,272641,224976,1.61,0.04,1.06,3617,96,2392,BUENOS AIRES
5.0,BUENOS AIRES_AYACUCHO,"Ayacucho, Buenos Aires",CAMBIEMOS,56.68,43.32,7639,5838,81.24,17022,13829,1.53,0.01,1.0,212,2,138,BUENOS AIRES
6.0,BUENOS AIRES_AZUL,"Azul, Buenos Aires",CAMBIEMOS,57.09,42.91,24608,18493,80.3,55060,44214,1.02,0.04,1.46,452,17,644,BUENOS AIRES
7.0,BUENOS AIRES_BAHIA BLANCA,"Bahia Blanca, Buenos Aires",CAMBIEMOS,64.83,35.17,117692,63842,80.37,233442,187615,1.57,0.07,1.6,2948,129,3004,BUENOS AIRES
8.0,BUENOS AIRES_BALCARCE,"Balcarce, Buenos Aires",CAMBIEMOS,66.28,33.72,20068,10208,81.9,37704,30881,1.01,0.04,0.91,312,13,280,BUENOS AIRES
9.0,BUENOS AIRES_BARADERO,"Baradero, Buenos Aires",FRENTE PARA LA VICTORIA,48.22,51.78,10535,11312,82.12,27119,22271,1.03,0.04,0.83,230,10,184,BUENOS AIRES
