id,seccion,agrupacion_ganadora,CAMBIEMOS_perc,COMPROMISO FEDERAL_perc,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES_perc,FRENTE PARA LA VICTORIA_perc,PROGRESISTAS_perc,UNIDOS POR UNA NUEVA ALTERNATIVA (UNA)_perc,CAMBIEMOS_votos,COMPROMISO FEDERAL_votos,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES_votos,FRENTE PARA LA VICTORIA_votos,PROGRESISTAS_votos,UNIDOS POR UNA NUEVA ALTERNATIVA (UNA)_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,NULO_votos,distrito
FORMOSA_BERMEJO,"Bermejo, Formosa",ALIANZA FRENTE PARA LA VICTORIA,5.35,0.07,0.28,80.4,0.0,13.9,226,3,12,3396,0,587,81.24,5267,4279,1.0,0.05,0.23,43,2,10,FORMOSA
FORMOSA_FORMOSA,"Formosa, Formosa",ALIANZA FRENTE PARA LA VICTORIA,20.53,0.27,1.37,54.9,0.59,22.34,27679,369,1850,74036,789,30130,79.93,176019,140684,3.09,0.12,0.94,4343,171,1317,FORMOSA
FORMOSA_LAISHI,"Laishi, Formosa",ALIANZA FRENTE PARA LA VICTORIA,10.41,0.39,0.27,76.9,0.05,11.98,1177,44,30,8696,6,1355,83.04,14108,11715,2.69,0.42,0.37,315,49,43,FORMOSA
FORMOSA_MATACOS,"Matacos, Formosa",ALIANZA FRENTE PARA LA VICTORIA,3.69,0.0,0.2,88.38,0.19,7.54,257,0,14,6151,13,525,73.2,9665,7075,0.76,0.23,0.64,54,16,45,FORMOSA
FORMOSA_PATIÑO,"Patiño, Formosa",ALIANZA FRENTE PARA LA VICTORIA,9.47,0.08,0.31,74.76,0.15,15.24,2265,18,73,17876,35,3645,77.24,31758,24530,2.05,0.04,0.42,504,10,104,FORMOSA
FORMOSA_PILAGAS,"Pilagas, Formosa",ALIANZA FRENTE PARA LA VICTORIA,10.88,0.14,0.44,81.57,0.14,6.83,473,6,19,3546,6,297,79.94,5518,4411,1.2,0.05,0.2,53,2,9,FORMOSA
FORMOSA_PILCOMAYO,"Pilcomayo, Formosa",ALIANZA FRENTE PARA LA VICTORIA,14.06,0.18,0.51,76.38,0.32,8.55,5589,72,201,30354,127,3396,78.05,52532,41002,2.3,0.1,0.68,944,41,278,FORMOSA
FORMOSA_PIRANE,"Pirane, Formosa",ALIANZA FRENTE PARA LA VICTORIA,13.44,0.28,0.71,68.33,0.07,17.16,4414,91,234,22435,22,5635,78.65,43484,34202,3.4,0.05,0.56,1162,16,193,FORMOSA
FORMOSA_RAMON LISTA,"Ramon Lista, Formosa",ALIANZA FRENTE PARA LA VICTORIA,1.92,0.31,1.27,84.02,0.34,12.14,68,11,45,2976,12,430,75.43,4798,3619,1.52,0.3,0.3,55,11,11,FORMOSA
