id,seccion,agrupacion_ganadora,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD_perc,FRENTE LIBER.AR_perc,FRENTE PATRIOTA FEDERAL_perc,HACEMOS POR NUESTRO PAIS_perc,JUNTOS POR EL CAMBIO_perc,LA LIBERTAD AVANZA_perc,MOVIMIENTO AL SOCIALISMO_perc,MOVIMIENTO DE ACCION VECINAL_perc,MOVIMIENTO IZQUIERDA JUVENTUD Y DIGNIDAD_perc,MOVIMIENTO LIBRES DEL SUR_perc,POLITICA OBRERA_perc,PRINCIPIOS Y VALORES_perc,PROYECTO JOVEN_perc,UNION DEL CENTRO DEMOCRATICO_perc,UNION POR LA PATRIA_perc,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD_votos,FRENTE LIBER.AR_votos,FRENTE PATRIOTA FEDERAL_votos,HACEMOS POR NUESTRO PAIS_votos,JUNTOS POR EL CAMBIO_votos,LA LIBERTAD AVANZA_votos,MOVIMIENTO AL SOCIALISMO_votos,MOVIMIENTO DE ACCION VECINAL_votos,MOVIMIENTO IZQUIERDA JUVENTUD Y DIGNIDAD_votos,MOVIMIENTO LIBRES DEL SUR_votos,POLITICA OBRERA_votos,PRINCIPIOS Y VALORES_votos,PROYECTO JOVEN_votos,UNION DEL CENTRO DEMOCRATICO_votos,UNION POR LA PATRIA_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,distrito
BUENOS AIRES_CHACABUCO,"Chacabuco, Buenos Aires",UNION POR LA PATRIA,1.6,0.23,0.12,1.72,31.95,26.14,0.53,0.21,0.27,0.15,0.11,0.82,0.03,0.0,36.12,468.0,67.0,36.0,503.0,9350.0,7650.0,156.0,62.0,78.0,43.0,33.0,241.0,8.0,0.0,10571.0,73.24,43166,31615,6.39,0.15,0.89,2020,48,BUENOS AIRES
BUENOS AIRES_CHASCOMUS,"Chascomus, Buenos Aires",JUNTOS POR EL CAMBIO,2.05,0.03,0.14,1.47,40.86,27.21,0.15,0.25,0.31,0.8,0.11,0.68,0.06,0.01,25.87,434.0,7.0,30.0,311.0,8666.0,5771.0,31.0,53.0,66.0,170.0,24.0,144.0,13.0,2.0,5486.0,68.15,35272,24037,11.3,0.15,0.32,2716,35,BUENOS AIRES
BUENOS AIRES_CHIVILCOY,"Chivilcoy, Buenos Aires",JUNTOS POR EL CAMBIO,1.89,0.21,0.1,12.56,29.11,26.02,0.18,0.2,0.27,0.52,0.12,1.34,0.0,0.0,27.47,709.0,77.0,39.0,4711.0,10919.0,9759.0,68.0,75.0,103.0,196.0,44.0,501.0,0.0,0.0,10304.0,70.48,60352,42534,11.11,0.17,0.54,4726,74,BUENOS AIRES
BUENOS AIRES_COLON,"Colon, Buenos Aires",UNION POR LA PATRIA,1.43,0.22,0.14,3.26,30.49,23.43,0.12,0.11,0.19,0.34,0.1,0.7,0.01,0.0,39.47,204.0,31.0,20.0,464.0,4342.0,3337.0,17.0,16.0,27.0,49.0,14.0,100.0,1.0,0.0,5621.0,70.53,22183,15646,8.09,0.29,0.58,1266,46,BUENOS AIRES
BUENOS AIRES_CORONEL DE MARINA LEONARDO ROSALES,"Coronel De Marina Leonardo Rosales, Buenos Aires",LA LIBERTAD AVANZA,1.64,0.0,0.18,1.31,38.18,39.72,0.35,0.31,0.31,0.61,0.19,0.97,0.43,0.0,15.8,544.0,1.0,60.0,436.0,12695.0,13206.0,115.0,104.0,102.0,203.0,64.0,323.0,142.0,1.0,5254.0,70.65,50558,35718,5.94,0.08,0.89,2121,28,BUENOS AIRES
BUENOS AIRES_CORONEL DORREGO,"Coronel Dorrego, Buenos Aires",JUNTOS POR EL CAMBIO,0.98,0.0,0.18,1.39,40.39,26.06,0.23,0.31,0.27,1.15,0.15,0.43,0.0,0.0,28.47,86.0,0.0,16.0,122.0,3556.0,2295.0,20.0,27.0,24.0,101.0,13.0,38.0,0.0,0.0,2507.0,70.92,13899,9857,9.81,0.32,0.54,967,32,BUENOS AIRES
BUENOS AIRES_CORONEL PRINGLES,"Coronel Pringles, Buenos Aires",JUNTOS POR EL CAMBIO,2.45,0.01,0.21,0.76,42.56,32.05,0.15,0.38,0.31,0.26,0.1,0.37,0.02,0.01,20.37,305.0,1.0,26.0,95.0,5299.0,3990.0,19.0,47.0,39.0,32.0,13.0,46.0,2.0,1.0,2536.0,67.91,20534,13944,9.76,0.21,0.74,1361,29,BUENOS AIRES
BUENOS AIRES_CORONEL SUAREZ,"Coronel Suarez, Buenos Aires",JUNTOS POR EL CAMBIO,2.84,0.01,0.21,2.19,36.68,31.79,0.28,0.49,0.37,0.3,0.26,0.6,0.02,0.0,23.96,610.0,3.0,46.0,470.0,7885.0,6833.0,60.0,106.0,80.0,64.0,56.0,129.0,5.0,0.0,5150.0,68.02,35027,23825,8.07,0.25,1.45,1922,60,BUENOS AIRES
BUENOS AIRES_DAIREAUX,"Daireaux, Buenos Aires",JUNTOS POR EL CAMBIO,0.74,0.0,0.08,0.7,43.49,21.38,0.13,0.18,0.32,0.1,0.1,0.34,0.0,0.0,32.43,69.0,0.0,7.0,65.0,4039.0,1986.0,12.0,17.0,30.0,9.0,9.0,32.0,0.0,0.0,3012.0,68.28,15218,10391,9.78,0.21,0.64,1016,22,BUENOS AIRES
BUENOS AIRES_DOLORES,"Dolores, Buenos Aires",JUNTOS POR EL CAMBIO,0.84,0.0,0.1,0.87,42.81,29.52,0.08,0.11,0.2,0.13,0.04,0.4,0.05,0.0,24.84,139.0,0.0,17.0,144.0,7088.0,4887.0,13.0,19.0,33.0,21.0,7.0,67.0,8.0,0.0,4112.0,72.07,25507,18383,9.07,0.14,0.73,1668,26,BUENOS AIRES
