id,seccion,agrupacion_ganadora,COMPROMISO FEDERAL_perc,FRENTE AMPLIO PROGRESISTA_perc,FRENTE POPULAR_perc,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES_perc,FRENTE PARA LA VICTORIA_perc,UNION PARA EL DESARROLLO SOCIAL_perc,COALICION CIVICA-ARI_perc,COMPROMISO FEDERAL_votos,FRENTE AMPLIO PROGRESISTA_votos,FRENTE POPULAR_votos,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES_votos,FRENTE PARA LA VICTORIA_votos,UNION PARA EL DESARROLLO SOCIAL_votos,COALICION CIVICA-ARI_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,NULO_votos,distrito
BUENOS AIRES_CAPITAN SARMIENTO,"Capitan Sarmiento, Buenos Aires",Alianza Frente para la Victoria,7.08,17.52,5.7,0.98,58.15,9.09,1.48,546,1352,440,76,4487,701,114,84.7,10340,8758,11.62,0.11,0.16,1018,10,14,BUENOS AIRES
BUENOS AIRES_CARLOS CASARES,"Carlos Casares, Buenos Aires",Alianza Frente para la Victoria,5.15,31.17,8.62,1.06,43.82,8.84,1.33,698,4223,1168,144,5936,1198,180,82.2,17390,14295,4.89,0.03,0.31,699,4,45,BUENOS AIRES
BUENOS AIRES_CARLOS TEJEDOR,"Carlos Tejedor, Buenos Aires",Alianza Frente para la Victoria,6.35,13.77,0.07,1.25,50.02,27.12,1.42,464,1006,5,91,3654,1981,104,85.27,9128,7783,5.68,0.03,0.44,442,2,34,BUENOS AIRES
BUENOS AIRES_CARMEN DE ARECO,"Carmen De Areco, Buenos Aires",Alianza Frente para la Victoria,8.56,10.67,4.44,0.72,68.22,6.6,0.79,761,948,395,64,6063,587,70,84.76,11111,9418,5.53,0.01,0.08,521,1,8,BUENOS AIRES
BUENOS AIRES_CASTELLI,"Castelli, Buenos Aires",Alianza Frente para la Victoria,9.43,10.24,3.54,0.79,52.19,22.78,1.03,466,506,175,39,2579,1126,51,85.8,6079,5216,4.7,0.1,0.46,245,5,24,BUENOS AIRES
BUENOS AIRES_CAÑUELAS,"Cañuelas, Buenos Aires",Alianza Frente para la Victoria,5.36,13.51,6.1,1.73,61.0,11.15,1.15,1489,3752,1694,480,16939,3095,320,84.33,34433,29036,3.67,0.02,0.68,1066,5,196,BUENOS AIRES
BUENOS AIRES_CHACABUCO,"Chacabuco, Buenos Aires",Alianza Frente para la Victoria,8.65,14.07,5.21,1.97,54.29,14.76,1.05,2683,4364,1615,611,16836,4579,326,83.06,38391,31888,2.0,0.03,0.71,639,9,226,BUENOS AIRES
BUENOS AIRES_CHASCOMUS,"Chascomus, Buenos Aires",Alianza Frente para la Victoria,6.59,21.33,5.61,1.57,41.04,22.33,1.53,1451,4696,1236,346,9034,4915,336,83.08,28711,23853,7.52,0.03,0.16,1793,8,38,BUENOS AIRES
BUENOS AIRES_CHIVILCOY,"Chivilcoy, Buenos Aires",Alianza Frente para la Victoria,4.05,13.07,4.73,1.9,60.72,14.2,1.33,1698,5482,1985,795,25465,5956,558,84.35,51243,43223,2.74,0.03,0.21,1183,12,89,BUENOS AIRES
BUENOS AIRES_COLON,"Colon, Buenos Aires",Alianza Frente para la Victoria,4.68,26.22,6.86,1.1,51.67,7.62,1.84,653,3656,957,154,7203,1062,256,82.09,17712,14539,3.8,0.01,0.31,552,1,45,BUENOS AIRES
BUENOS AIRES_CORONEL DORREGO,"Coronel Dorrego, Buenos Aires",Alianza Frente para la Victoria,6.07,13.82,6.22,1.15,45.5,25.81,1.44,585,1333,600,111,4388,2489,139,81.5,13058,10642,9.2,0.02,0.15,979,2,16,BUENOS AIRES
BUENOS AIRES_CORONEL PRINGLES,"Coronel Pringles, Buenos Aires",Alianza Frente para la Victoria,6.08,11.58,7.29,1.59,50.69,21.2,1.56,851,1620,1020,223,7091,2965,218,80.7,18964,15304,8.05,0.03,0.52,1232,4,80,BUENOS AIRES
BUENOS AIRES_CORONEL DE MARINA LEONARDO ROSALES,"Coronel Rosales, Buenos Aires",Alianza Frente para la Victoria,14.34,16.79,10.92,1.84,43.2,9.8,3.11,4676,5475,3559,601,14085,3195,1015,75.05,45558,34193,3.83,0.03,0.78,1310,9,268,BUENOS AIRES
BUENOS AIRES_CORONEL SUAREZ,"Coronel Suarez, Buenos Aires",Alianza Frente para la Victoria,5.43,12.42,6.9,2.11,56.26,13.95,2.93,1338,3062,1702,521,13876,3441,722,82.68,31141,25747,3.42,0.03,0.77,880,8,197,BUENOS AIRES
BUENOS AIRES_DAIREAUX,"Daireaux, Buenos Aires",Alianza Frente para la Victoria,3.67,9.71,8.73,0.75,46.73,28.45,1.97,386,1021,918,79,4915,2992,207,85.43,13013,11117,4.84,0.13,0.42,538,14,47,BUENOS AIRES
BUENOS AIRES_DOLORES,"Dolores, Buenos Aires",Alianza Frente para la Victoria,6.33,13.92,5.94,1.14,49.33,7.53,15.81,1038,2281,973,187,8086,1235,2592,83.83,21251,17815,7.45,0.04,0.49,1328,7,88,BUENOS AIRES
BUENOS AIRES_ENSENADA,"Ensenada, Buenos Aires",Alianza Frente para la Victoria,7.15,12.86,10.19,4.05,55.52,8.35,1.89,2496,4490,3560,1413,19390,2916,659,81.39,45166,36760,4.47,0.02,0.51,1642,7,187,BUENOS AIRES
BUENOS AIRES_ESCOBAR,"Escobar, Buenos Aires",Alianza Frente para la Victoria,7.58,12.7,7.08,2.87,59.33,8.84,1.6,8065,13511,7531,3054,63120,9409,1700,83.72,133524,111790,4.35,0.03,0.45,4868,30,502,BUENOS AIRES
BUENOS AIRES_ESTEBAN ECHEVERRIA,"Esteban Echeverria, Buenos Aires",Alianza Frente para la Victoria,6.06,10.65,7.16,2.86,64.0,7.82,1.45,8671,15223,10237,4090,91504,11182,2069,84.33,175752,148203,2.57,0.09,0.87,3808,137,1282,BUENOS AIRES
BUENOS AIRES_EXALTACION DE LA CRUZ,"Exaltacion De La Cruz, Buenos Aires",Alianza Frente para la Victoria,8.79,14.42,8.14,1.69,54.22,10.84,1.89,1463,2399,1354,281,9021,1804,315,84.37,20694,17460,3.81,0.03,0.87,665,6,152,BUENOS AIRES
BUENOS AIRES_EZEIZA,"Ezeiza, Buenos Aires",Alianza Frente para la Victoria,6.7,7.69,8.33,2.71,66.76,6.65,1.16,5000,5740,6219,2020,49822,4961,869,85.08,91352,77724,3.3,0.06,0.62,2566,44,483,BUENOS AIRES
BUENOS AIRES_FLORENTINO AMEGHINO,"F. Ameghino, Buenos Aires",Alianza Frente para la Victoria,3.67,9.01,4.69,0.89,52.22,26.22,3.29,222,545,284,54,3159,1586,199,87.0,7168,6236,2.71,0.03,0.26,169,2,16,BUENOS AIRES
BUENOS AIRES_FLORENCIO VARELA,"Florencio Varela, Buenos Aires",Alianza Frente para la Victoria,5.01,7.35,4.64,2.58,73.66,5.84,0.93,9923,14569,9202,5107,145986,11569,1841,84.17,247147,208013,3.89,0.08,0.76,8086,158,1572,BUENOS AIRES
BUENOS AIRES_GENERAL ALVARADO,"General Alvarado, Buenos Aires",Alianza Frente para la Victoria,7.49,16.56,4.63,2.12,52.27,15.34,1.59,1753,3874,1082,495,12226,3587,372,78.27,30805,24111,2.38,0.02,0.6,573,4,145,BUENOS AIRES
BUENOS AIRES_GENERAL ALVEAR,"General Alvear, Buenos Aires",Alianza Frente para la Victoria,2.52,9.17,13.38,0.54,41.48,32.08,0.84,145,527,769,31,2384,1844,48,83.74,7363,6166,6.7,0.02,0.06,413,1,4,BUENOS AIRES
BUENOS AIRES_GENERAL ARENALES,"General Arenales, Buenos Aires",Alianza Frente para la Victoria,6.35,17.48,7.82,0.91,45.42,20.6,1.42,679,1870,837,97,4860,2204,152,82.91,13343,11063,3.21,0.01,0.07,355,1,8,BUENOS AIRES
BUENOS AIRES_GENERAL BELGRANO,"General Belgrano, Buenos Aires",Alianza Frente para la Victoria,4.32,13.47,9.65,1.06,51.76,18.44,1.31,463,1442,1033,113,5543,1975,140,83.9,13577,11391,5.62,0.04,0.33,640,4,38,BUENOS AIRES
BUENOS AIRES_GENERAL GUIDO,"General Guido, Buenos Aires",Alianza Frente para la Victoria,2.0,4.55,3.37,0.39,48.46,38.83,2.4,41,93,69,8,991,794,49,89.67,2411,2162,4.81,0.23,0.37,104,5,8,BUENOS AIRES
BUENOS AIRES_GENERAL LA MADRID,"General Lamadrid, Buenos Aires",Alianza Frente para la Victoria,3.02,8.42,5.36,0.85,52.53,28.67,1.15,213,594,378,60,3705,2022,81,85.67,8700,7453,4.67,0.08,0.62,348,6,46,BUENOS AIRES
