id,seccion,agrupacion_ganadora,CAMBIEMOS_perc,COMPROMISO FEDERAL_perc,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES_perc,FRENTE PARA LA VICTORIA_perc,PROGRESISTAS_perc,UNIDOS POR UNA NUEVA ALTERNATIVA (UNA)_perc,CAMBIEMOS_votos,COMPROMISO FEDERAL_votos,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES_votos,FRENTE PARA LA VICTORIA_votos,PROGRESISTAS_votos,UNIDOS POR UNA NUEVA ALTERNATIVA (UNA)_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,NULO_votos,distrito
TIERRA DEL FUEGO_ANTARTIDA ARGENTINA,"Antartida Argentina, Tierra Del Fuego",ALIANZA CAMBIEMOS,63.23,1.29,3.23,9.68,1.29,21.29,98,2,5,15,2,33,55.16,281,155,0.0,0.0,0.0,0,0,0,TIERRA DEL FUEGO
TIERRA DEL FUEGO_RIO GRANDE,"Rio Grande, Tierra Del Fuego",ALIANZA FRENTE PARA LA VICTORIA,17.9,1.55,3.98,49.21,2.99,24.36,9433,819,2095,25932,1578,12837,76.8,71125,54627,2.06,0.07,1.41,1124,38,771,TIERRA DEL FUEGO
TIERRA DEL FUEGO_USHUAIA,"Ushuaia, Tierra Del Fuego",ALIANZA FRENTE PARA LA VICTORIA,27.01,1.72,4.97,40.53,3.71,22.06,10412,663,1917,15622,1429,8503,73.36,54374,39890,1.67,0.07,1.63,667,26,651,TIERRA DEL FUEGO
