id,seccion,agrupacion_ganadora,CAMBIEMOS_perc,COMPROMISO FEDERAL_perc,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES_perc,FRENTE PARA LA VICTORIA_perc,FRENTE POPULAR_perc,PROGRESISTAS_perc,UNIDOS POR UNA NUEVA ALTERNATIVA (UNA)_perc,MOVIMIENTO AL SOCIALISMO_perc,MOVIMIENTO DE ACCION VECINAL_perc,MST - NUEVA IZQUIERDA_perc,PARTIDO POPULAR_perc,CAMBIEMOS_votos,COMPROMISO FEDERAL_votos,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES_votos,FRENTE PARA LA VICTORIA_votos,FRENTE POPULAR_votos,PROGRESISTAS_votos,UNIDOS POR UNA NUEVA ALTERNATIVA (UNA)_votos,MOVIMIENTO AL SOCIALISMO_votos,MOVIMIENTO DE ACCION VECINAL_votos,MST - NUEVA IZQUIERDA_votos,PARTIDO POPULAR_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,NULO_votos,distrito
FORMOSA_BERMEJO,"Bermejo, Formosa",ALIANZA FRENTE PARA LA VICTORIA,10.69,0.14,0.49,74.76,0.01,3.48,6.84,0.13,0.09,0.16,3.2,744,10,34,5202,1,242,476,9,6,11,223,62.7,11247,7052,1.16,0.03,0.14,82,2,10,FORMOSA
FORMOSA_FORMOSA,"Formosa, Formosa",ALIANZA FRENTE PARA LA VICTORIA,20.49,0.53,2.18,49.06,0.06,1.15,24.36,0.53,0.22,0.29,1.13,26804,690,2845,64164,74,1506,31864,699,285,385,1481,75.31,181070,136366,2.89,0.13,1.07,3938,171,1460,FORMOSA
FORMOSA_LAISHI,"Laishi, Formosa",ALIANZA FRENTE PARA LA VICTORIA,14.24,0.31,0.73,66.99,0.0,0.76,12.93,0.33,0.13,0.44,3.13,1640,36,84,7713,0,88,1489,38,15,51,360,74.73,15738,11761,1.43,0.16,0.51,168,19,60,FORMOSA
FORMOSA_MATACOS,"Matacos, Formosa",ALIANZA FRENTE PARA LA VICTORIA,7.4,0.3,1.02,75.21,0.45,0.76,11.16,0.31,0.13,0.18,3.08,495,20,68,5033,30,51,747,21,9,12,206,60.08,11364,6828,1.3,0.12,0.57,89,8,39,FORMOSA
FORMOSA_PATIÑO,"Patiño, Formosa",ALIANZA FRENTE PARA LA VICTORIA,12.75,0.42,1.32,67.65,0.02,0.76,13.67,0.33,0.21,0.24,2.62,4691,155,485,24897,6,280,5031,123,79,90,965,65.79,57076,37552,1.48,0.02,0.51,554,6,190,FORMOSA
FORMOSA_PILAGAS,"Pilagas, Formosa",ALIANZA FRENTE PARA LA VICTORIA,10.49,0.24,0.78,76.05,0.0,0.64,9.4,0.26,0.14,0.26,1.73,1193,27,89,8646,0,73,1069,30,16,29,197,75.19,15475,11635,1.93,0.0,0.35,225,0,41,FORMOSA
FORMOSA_PILCOMAYO,"Pilcomayo, Formosa",ALIANZA FRENTE PARA LA VICTORIA,14.92,0.44,1.03,70.0,0.05,1.13,10.84,0.36,0.35,0.25,0.64,7161,211,495,33603,23,541,5206,175,166,119,305,72.21,68580,49522,2.38,0.06,0.63,1178,28,311,FORMOSA
FORMOSA_PIRANE,"Pirane, Formosa",ALIANZA FRENTE PARA LA VICTORIA,17.13,0.47,1.45,62.63,0.01,1.09,14.58,0.56,0.18,0.37,1.54,5855,161,495,21410,4,371,4985,191,63,126,525,68.81,51233,35251,2.31,0.02,0.7,813,6,246,FORMOSA
FORMOSA_RAMON LISTA,"Ramon Lista, Formosa",ALIANZA FRENTE PARA LA VICTORIA,3.31,2.47,1.08,85.79,0.05,0.64,5.65,0.24,0.2,0.3,0.29,197,147,64,5106,3,38,336,14,12,18,17,65.25,9287,6060,1.67,0.0,0.12,101,0,7,FORMOSA
