id,seccion,agrupacion_ganadora,COMPROMISO FEDERAL_perc,FRENTE AMPLIO PROGRESISTA_perc,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES_perc,FRENTE PARA LA VICTORIA_perc,FRENTE POPULAR_perc,PROYECTO SUR_perc,UNION PARA EL DESARROLLO SOCIAL_perc,COALICION CIVICA-ARI_perc,DEL CAMPO POPULAR_perc,MOVIMIENTO DE ACCION VECINAL_perc,COMPROMISO FEDERAL_votos,FRENTE AMPLIO PROGRESISTA_votos,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES_votos,FRENTE PARA LA VICTORIA_votos,FRENTE POPULAR_votos,PROYECTO SUR_votos,UNION PARA EL DESARROLLO SOCIAL_votos,COALICION CIVICA-ARI_votos,DEL CAMPO POPULAR_votos,MOVIMIENTO DE ACCION VECINAL_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,NULO_votos,distrito
ENTRE RIOS_COLON,"Colon, Entre Rios",ALIANZA FRENTE PARA LA VICTORIA,5.72,9.96,1.61,44.32,11.73,0.65,21.63,3.12,0.53,0.73,2038,3552,575,15800,4181,232,7711,1113,190,260,82.54,45531,37582,3.66,0.03,1.44,1376.0,11.0,543.0,ENTRE RIOS
ENTRE RIOS_CONCORDIA,"Concordia, Entre Rios",ALIANZA FRENTE PARA LA VICTORIA,4.61,7.01,1.18,62.28,9.73,1.21,10.29,2.83,0.37,0.5,4007,6099,1024,54160,8465,1051,8948,2459,318,433,77.56,118213,91685,3.7,0.06,1.39,3389.0,54.0,1278.0,ENTRE RIOS
ENTRE RIOS_DIAMANTE,"Diamante, Entre Rios",ALIANZA FRENTE PARA LA VICTORIA,4.93,14.88,0.97,38.74,14.56,0.46,22.59,1.96,0.47,0.44,1326,4005,260,10428,3918,124,6081,527,127,119,78.8,35994,28363,3.91,0.06,1.13,1110.0,18.0,320.0,ENTRE RIOS
ENTRE RIOS_FEDERACION,"Federacion, Entre Rios",ALIANZA FRENTE PARA LA VICTORIA,3.12,5.88,0.85,44.48,12.05,0.83,29.6,2.32,0.32,0.55,1163,2192,318,16578,4490,311,11032,865,120,204,80.96,48520,39283,3.71,0.05,1.35,1458.0,21.0,531.0,ENTRE RIOS
ENTRE RIOS_FEDERAL,"Federal, Entre Rios",ALIANZA FRENTE PARA LA VICTORIA,2.04,3.5,0.73,50.71,5.76,0.27,35.11,1.23,0.27,0.38,293,502,105,7278,826,39,5039,176,39,54,78.65,19127,15043,3.88,0.17,0.55,584.0,26.0,82.0,ENTRE RIOS
ENTRE RIOS_FELICIANO,"Feliciano, Entre Rios",ALIANZA FRENTE PARA LA VICTORIA,2.0,3.42,0.81,54.71,14.74,0.35,20.93,1.35,0.53,1.15,158,271,64,4331,1167,28,1657,107,42,91,76.73,10704,8213,2.64,0.12,0.85,217.0,10.0,70.0,ENTRE RIOS
ENTRE RIOS_GUALEGUAY,"Gualeguay, Entre Rios",ALIANZA FRENTE PARA LA VICTORIA,4.96,9.76,1.31,48.4,16.3,1.06,14.15,2.9,0.52,0.63,1232,2424,325,12020,4049,262,3513,721,130,157,71.29,39590,28222,9.91,1.08,1.02,2796.0,305.0,288.0,ENTRE RIOS
ENTRE RIOS_GUALEGUAYCHU,"Gualeguaychu, Entre Rios",ALIANZA FRENTE PARA LA VICTORIA,8.79,12.8,1.72,41.3,16.33,0.77,13.54,3.45,0.58,0.72,5855,8527,1149,27517,10884,515,9025,2297,388,478,83.02,83051,68950,1.85,0.17,1.34,1277.0,117.0,921.0,ENTRE RIOS
ENTRE RIOS_ISLAS DEL IBICUY,"Islas Del Ibicuy, Entre Rios",ALIANZA FRENTE PARA LA VICTORIA,5.24,2.95,0.79,62.11,6.94,0.42,19.45,1.03,0.23,0.83,360,203,54,4269,477,29,1337,71,16,57,76.92,9279,7137,2.61,0.01,1.08,186.0,1.0,77.0,ENTRE RIOS
ENTRE RIOS_LA PAZ,"La Paz, Entre Rios",ALIANZA FRENTE PARA LA VICTORIA,5.64,8.16,0.75,50.84,10.57,0.61,20.63,1.98,0.34,0.48,1757,2543,234,15848,3295,190,6431,617,105,150,68.02,50296,34209,7.67,0.08,1.13,2625.0,29.0,385.0,ENTRE RIOS
ENTRE RIOS_NOGOYA,"Nogoya, Entre Rios",ALIANZA FRENTE PARA LA VICTORIA,4.34,10.89,0.81,45.16,15.99,0.81,18.98,2.01,0.41,0.59,949,2381,178,9872,3496,177,4149,439,89,128,79.84,30109,24039,8.21,0.05,0.82,1973.0,11.0,197.0,ENTRE RIOS
ENTRE RIOS_PARANA,"Parana, Entre Rios",ALIANZA FRENTE PARA LA VICTORIA,10.32,23.66,1.14,37.84,9.34,1.04,13.59,2.35,0.29,0.45,14585,33448,1606,53494,13202,1464,19207,3329,403,632,78.77,188110,148182,2.76,0.08,1.76,4083.0,118.0,2611.0,ENTRE RIOS
ENTRE RIOS_PARANA - CAMPANA,"Parana - Campana, Entre Rios",ALIANZA FRENTE PARA LA VICTORIA,4.29,15.6,0.95,40.83,15.26,0.62,19.82,1.78,0.29,0.56,2390,8681,527,22720,8494,346,11030,989,162,310,82.91,70819,58715,4.29,0.04,0.89,2520.0,26.0,520.0,ENTRE RIOS
ENTRE RIOS_SAN SALVADOR,"San Salvador, Entre Rios",ALIANZA FRENTE PARA LA VICTORIA,3.58,6.13,1.13,43.93,23.33,0.6,18.17,1.93,0.55,0.66,386,661,122,4739,2517,65,1960,208,59,71,83.08,13650,11341,4.1,0.0,0.78,465.0,0.0,88.0,ENTRE RIOS
ENTRE RIOS_TALA,"Tala, Entre Rios",ALIANZA FRENTE PARA LA VICTORIA,4.76,8.33,0.79,47.8,15.04,0.3,20.28,2.11,0.34,0.24,707,1238,118,7103,2235,45,3014,313,51,36,78.27,20680,16186,7.38,0.02,0.79,1195.0,3.0,128.0,ENTRE RIOS
ENTRE RIOS_URUGUAY,"Uruguay, Entre Rios",ALIANZA FRENTE PARA LA VICTORIA,7.49,13.9,1.4,45.44,12.27,0.72,14.5,3.18,0.45,0.64,4109,7622,770,24913,6727,395,7947,1744,248,350,80.81,74513,60213,7.42,0.04,1.48,4470.0,27.0,891.0,ENTRE RIOS
ENTRE RIOS_VICTORIA,"Victoria, Entre Rios",ALIANZA FRENTE PARA LA VICTORIA,6.12,19.59,1.05,39.41,14.59,0.34,15.34,1.96,0.41,1.2,1154,3692,197,7428,2750,64,2891,370,78,226,74.75,27149,20293,5.89,0.01,1.2,1196.0,3.0,244.0,ENTRE RIOS
ENTRE RIOS_VILLAGUAY,"Villaguay, Entre Rios",ALIANZA FRENTE PARA LA VICTORIA,4.14,8.56,1.13,53.67,12.46,0.48,16.16,2.32,0.35,0.72,996,2059,273,12909,2998,115,3888,559,84,172,71.19,36004,25630,4.94,0.04,1.18,1265.0,9.0,303.0,ENTRE RIOS
