id,seccion,agrupacion_ganadora,CONSENSO FEDERAL_perc,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD_perc,FRENTE DE TODOS_perc,FRENTE NOS_perc,FRENTE PATRIOTA_perc,JUNTOS POR EL CAMBIO_perc,MOVIMIENTO AL SOCIALISMO_perc,MOVIMIENTO DE ACCION VECINAL_perc,PARTIDO AUTONOMISTA_perc,UNITE POR LA LIBERTAD Y LA DIGNIDAD_perc,CONSENSO FEDERAL_votos,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD_votos,FRENTE DE TODOS_votos,FRENTE NOS_votos,FRENTE PATRIOTA_votos,JUNTOS POR EL CAMBIO_votos,MOVIMIENTO AL SOCIALISMO_votos,MOVIMIENTO DE ACCION VECINAL_votos,PARTIDO AUTONOMISTA_votos,UNITE POR LA LIBERTAD Y LA DIGNIDAD_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,NULO_votos,distrito
TIERRA DEL FUEGO_ANTARTIDA ARGENTINA,"Antartida Argentina, Tierra Del Fuego",JUNTOS POR EL CAMBIO,5.06,0.0,3.8,6.96,0.0,77.85,0.0,0.0,0.0,6.33,8,0,6,11,0,123,0,0,0,10,67.54,305,206,0.49,21.84,0.97,1,45,2,TIERRA DEL FUEGO
TIERRA DEL FUEGO_RIO GRANDE,"Rio Grande, Tierra Del Fuego",FRENTE DE TODOS,8.86,2.76,62.15,5.11,0.26,16.82,0.83,0.16,0.15,2.89,4444,1384,31158,2564,132,8433,415,81,77,1449,73.4,72115,52935,2.74,0.12,2.43,1449,65,1284,TIERRA DEL FUEGO
TIERRA DEL FUEGO_TOLHUIN,"Tolhuin, Tierra Del Fuego",FRENTE DE TODOS,9.38,1.1,60.48,8.5,0.35,18.02,0.53,0.25,0.28,1.1,265,31,1708,240,10,509,15,7,8,31,68.65,4370,3000,3.03,0.13,2.7,91,4,81,TIERRA DEL FUEGO
TIERRA DEL FUEGO_USHUAIA,"Ushuaia, Tierra Del Fuego",FRENTE DE TODOS,10.16,4.18,50.38,4.46,0.36,25.49,1.09,0.28,0.18,3.42,4003,1646,19847,1757,143,10043,428,111,70,1346,69.24,60296,41749,2.54,0.16,2.94,1062,67,1226,TIERRA DEL FUEGO
