id,seccion,agrupacion_ganadora,CAMBIEMOS_perc,COMPROMISO FEDERAL_perc,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES_perc,FRENTE PARA LA VICTORIA_perc,PROGRESISTAS_perc,UNIDOS POR UNA NUEVA ALTERNATIVA (UNA)_perc,CAMBIEMOS_votos,COMPROMISO FEDERAL_votos,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES_votos,FRENTE PARA LA VICTORIA_votos,PROGRESISTAS_votos,UNIDOS POR UNA NUEVA ALTERNATIVA (UNA)_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,NULO_votos,distrito
BUENOS AIRES_MORENO,"Moreno, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,20.48,1.07,3.56,46.33,2.46,26.11,50194,2627,8719,113552,6033,63991,79.71,318677,254033,2.74,0.11,0.66,6955,282,1680,BUENOS AIRES
BUENOS AIRES_MORON,"Moron, Buenos Aires",ALIANZA CAMBIEMOS,38.18,0.85,4.02,31.25,4.82,20.88,80199,1792,8439,65653,10122,43871,78.62,273068,214686,1.47,0.07,0.61,3161,148,1301,BUENOS AIRES
BUENOS AIRES_NAVARRO,"Navarro, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,38.75,1.9,1.15,40.94,1.22,16.04,4266,209,127,4508,134,1766,85.03,13342,11345,2.38,0.09,0.48,270,10,55,BUENOS AIRES
BUENOS AIRES_NECOCHEA,"Necochea, Buenos Aires",ALIANZA CAMBIEMOS,48.03,0.98,2.42,24.23,2.89,21.44,28505,582,1439,14382,1718,12727,76.89,79523,61144,2.16,0.03,0.73,1322,20,449,BUENOS AIRES
BUENOS AIRES_9 DE JULIO,"Nueve De Julio, Buenos Aires",ALIANZA CAMBIEMOS,45.84,0.88,2.03,29.87,3.05,18.33,14773,283,653,9624,983,5908,82.59,39955,32999,1.85,0.04,0.46,610,12,153,BUENOS AIRES
BUENOS AIRES_OLAVARRIA,"Olavarria, Buenos Aires",ALIANZA CAMBIEMOS,35.61,1.25,3.45,29.3,2.19,28.2,25809,909,2503,21236,1590,20437,80.79,92959,75097,2.66,0.06,0.76,1999,46,568,BUENOS AIRES
BUENOS AIRES_PATAGONES,"Patagones, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,36.44,0.73,1.83,36.86,2.17,21.97,6866,137,345,6946,409,4140,77.96,24979,19474,2.76,0.04,0.44,538,8,85,BUENOS AIRES
BUENOS AIRES_PEHUAJO,"Pehuajo, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,35.24,1.26,1.96,35.71,2.04,23.79,9300,333,516,9422,539,6278,81.46,33684,27440,3.01,0.04,0.78,827,10,215,BUENOS AIRES
BUENOS AIRES_PELLEGRINI,"Pellegrini, Buenos Aires",ALIANZA CAMBIEMOS,47.95,0.65,0.99,21.22,1.88,27.31,1984,27,41,878,78,1130,83.9,5149,4320,4.05,0.02,0.14,175,1,6,BUENOS AIRES
BUENOS AIRES_PERGAMINO,"Pergamino, Buenos Aires",ALIANZA CAMBIEMOS,45.35,1.61,2.41,27.68,2.27,20.69,30654,1089,1626,18714,1532,13985,80.84,86356,69814,2.35,0.07,0.75,1638,49,527,BUENOS AIRES
