Unnamed: 0,id,seccion,agrupacion_ganadora,CONSENSO FEDERAL_perc,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD_perc,FRENTE DE TODOS_perc,FRENTE NOS_perc,JUNTOS POR EL CAMBIO_perc,UNITE POR LA LIBERTAD Y LA DIGNIDAD_perc,CONSENSO FEDERAL_votos,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD_votos,FRENTE DE TODOS_votos,FRENTE NOS_votos,JUNTOS POR EL CAMBIO_votos,UNITE POR LA LIBERTAD Y LA DIGNIDAD_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,NULO_votos,distrito
120.0,BUENOS AIRES_SAN VICENTE,"San Vicente, Buenos Aires",FRENTE DE TODOS,7.65,2.4,55.35,1.51,31.88,1.22,3141,985,22735,620,13095,502,81.83,51848,42426,2.17,0.19,0.82,919,79,350,BUENOS AIRES
121.0,BUENOS AIRES_SUIPACHA,"Suipacha, Buenos Aires",FRENTE DE TODOS,4.13,1.09,48.35,0.61,44.66,1.15,316,83,3697,47,3415,88,84.96,9273,7878,2.42,0.28,0.24,191,22,19,BUENOS AIRES
122.0,BUENOS AIRES_TANDIL,"Tandil, Buenos Aires",JUNTOS POR EL CAMBIO,7.76,1.96,40.26,1.05,47.26,1.72,6427,1620,33351,867,39149,1424,82.11,103395,84902,1.64,0.09,0.71,1389,74,601,BUENOS AIRES
123.0,BUENOS AIRES_TAPALQUE,"Tapalque, Buenos Aires",FRENTE DE TODOS,4.33,1.5,50.07,1.2,41.99,0.9,297,103,3433,82,2879,62,82.86,8525,7064,2.43,0.21,0.3,172,15,21,BUENOS AIRES
124.0,BUENOS AIRES_TIGRE,"Tigre, Buenos Aires",FRENTE DE TODOS,6.58,3.16,50.5,1.73,36.48,1.54,15946,7658,122398,4203,88405,3739,82.88,298681,247550,1.17,0.19,0.74,2902,479,1820,BUENOS AIRES
125.0,BUENOS AIRES_TORDILLO,"Tordillo, Buenos Aires",FRENTE DE TODOS,2.53,0.8,48.25,1.44,46.41,0.57,44,14,840,25,808,10,87.63,2085,1827,4.11,0.33,0.27,75,6,5,BUENOS AIRES
126.0,BUENOS AIRES_TORNQUIST,"Tornquist, Buenos Aires",JUNTOS POR EL CAMBIO,4.56,2.1,37.8,1.63,52.25,1.66,470,217,3900,168,5391,171,81.25,13059,10611,2.11,0.25,0.41,224,27,43,BUENOS AIRES
127.0,BUENOS AIRES_TRENQUE LAUQUEN,"Trenque Lauquen, Buenos Aires",JUNTOS POR EL CAMBIO,5.5,1.42,41.23,0.87,49.88,1.1,1670,430,12513,264,15138,335,81.45,38234,31143,1.91,0.19,0.45,596,58,139,BUENOS AIRES
128.0,BUENOS AIRES_TRES ARROYOS,"Tres Arroyos, Buenos Aires",FRENTE DE TODOS,6.04,2.15,47.19,1.15,41.91,1.56,2302,818,17985,439,15973,595,79.15,49684,39323,2.28,0.25,0.55,897,99,215,BUENOS AIRES
129.0,BUENOS AIRES_TRES DE FEBRERO,"Tres De Febrero, Buenos Aires",FRENTE DE TODOS,7.52,3.02,48.59,1.47,37.69,1.71,16391,6596,105968,3211,82191,3728,82.33,270534,222724,1.05,0.29,0.75,2338,635,1666,BUENOS AIRES
130.0,BUENOS AIRES_TRES LOMAS,"Tres Lomas, Buenos Aires",FRENTE DE TODOS,3.55,1.55,51.16,1.38,41.37,1.0,170,74,2450,66,1981,48,84.8,5882,4988,3.43,0.24,0.32,171,12,16,BUENOS AIRES
131.0,BUENOS AIRES_VICENTE LOPEZ,"Vicente Lopez, Buenos Aires",JUNTOS POR EL CAMBIO,6.52,2.83,30.37,0.7,57.79,1.78,11707,5086,54519,1252,103736,3203,81.59,224403,183090,1.06,0.16,0.74,1949,292,1346,BUENOS AIRES
132.0,BUENOS AIRES_VILLA GESELL,"Villa Gesell, Buenos Aires",FRENTE DE TODOS,5.0,2.95,49.16,1.78,39.75,1.36,1023,605,10068,364,8140,278,75.83,27785,21068,1.72,0.17,0.92,362,35,193,BUENOS AIRES
133.0,BUENOS AIRES_VILLARINO,"Villarino, Buenos Aires",JUNTOS POR EL CAMBIO,4.24,1.74,37.54,1.04,53.89,1.54,736,303,6519,180,9358,268,80.93,22927,18554,5.33,0.29,0.8,989,53,148,BUENOS AIRES
134.0,BUENOS AIRES_ZARATE,"Zarate, Buenos Aires",FRENTE DE TODOS,6.43,2.6,55.12,1.46,32.95,1.44,4644,1876,39790,1057,23785,1040,83.67,88219,73815,1.54,0.09,0.56,1139,69,415,BUENOS AIRES
