,id,seccion,agrupacion_ganadora,CONSENSO FEDERAL_perc,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD_perc,FRENTE DE TODOS_perc,FRENTE NOS_perc,JUNTOS POR EL CAMBIO_perc,UNITE POR LA LIBERTAD Y LA DIGNIDAD_perc,CONSENSO FEDERAL_votos,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD_votos,FRENTE DE TODOS_votos,FRENTE NOS_votos,JUNTOS POR EL CAMBIO_votos,UNITE POR LA LIBERTAD Y LA DIGNIDAD_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,NULO_votos
473,SANTA FE_SAN JAVIER,"San Javier, Santa Fe",FRENTE DE TODOS,4.49,0.89,51.89,0.75,41.05,0.92,895,177,10337,150,8178,183,76.41,26647,20361,0.79,0.03,1.35,161,6,274
474,SANTA FE_SAN JERONIMO,"San Jeronimo, Santa Fe",FRENTE DE TODOS,8.13,1.07,43.95,1.44,43.55,1.87,4348,574,23516,773,23302,999,79.24,68882,54585,0.74,0.06,1.16,406,34,633
475,SANTA FE_SAN JUSTO,"San Justo, Santa Fe",JUNTOS POR EL CAMBIO,6.73,0.82,37.91,1.09,52.02,1.44,1897,232,10688,306,14666,405,78.8,36526,28782,0.51,0.16,1.38,147,45,396
476,SANTA FE_SAN LORENZO,"San Lorenzo, Santa Fe",FRENTE DE TODOS,10.78,1.55,45.89,2.2,37.55,2.02,12641,1820,53798,2580,44025,2371,81.48,147046,119809,0.62,0.07,1.46,737,87,1750
477,SANTA FE_SAN MARTIN,"San Martin, Santa Fe",JUNTOS POR EL CAMBIO,8.48,1.16,33.82,1.63,53.22,1.69,3596,493,14350,693,22580,715,80,54297,43439,0.63,0.02,1.69,272,8,732
478,SANTA FE_VERA,"Vera, Santa Fe",FRENTE DE TODOS,4.85,1.02,53.1,0.8,39.26,0.97,1573,329,17208,260,12721,315,74.32,44375,32981,0.52,0.08,1.14,173,25,377
479,SANTIAGO DEL ESTERO_AGUIRRE,"Aguirre, Santiago Del Estero",FRENTE DE TODOS,1.63,0.44,67.78,0.51,29.31,0.33,89,24,3704,28,1602,18,78.7,7051,5549,0.99,0.14,0.38,55,8,21
480,SANTIAGO DEL ESTERO_ALBERDI,"Alberdi, Santiago Del Estero",FRENTE DE TODOS,1.04,0.28,85.21,1.18,12.03,0.27,106,28,8658,120,1222,27,76.2,13489,10278,0.82,0.13,0.19,84,13,20
481,SANTIAGO DEL ESTERO_ATAMISQUI,"Atamisqui, Santiago Del Estero",FRENTE DE TODOS,0.89,0.43,87.29,1.78,9.43,0.17,68,33,6634,135,717,13,80.32,9577,7692,0.6,0.17,0.43,46,13,33
482,SANTIAGO DEL ESTERO_AVELLANEDA,"Avellaneda, Santiago Del Estero",FRENTE DE TODOS,1.46,0.45,84.77,0.85,12.11,0.36,208,64,12115,122,1730,52,80.92,17839,14435,0.7,0.1,0.2,101,14,29
